name,tags,score,lat,lon
Лазурит,['Магазин продуктов'],"3,8",38.181107,54.844982
Яндекс Маркет,['Пункт выдачи'],"4,5",38.268083,54.792753
Магазин продуктов,['Магазин продуктов'],"4,0",38.297371,54.796228
Супермаркет,,"4,3",38.028313,54.812673
Великолукский мясокомбинат,"['Магазин мяса, колбас']","4,2",38.270421,54.7929
Экоферма,['Магазин продуктов'],"4,0",38.273127,54.836472
Продукты,['Магазин продуктов'],"3,7",38.062458,54.892226
Подмосковный фермер,['Магазин продуктов'],"3,6",38.09906,54.890707
Огонёк,['Магазин продуктов'],"3,0",38.250139,54.847436
Куриный дом,"['Магазин мяса, колбас', 'яйцо и мясо птицы']","4,1",38.2596,54.79278
Анжелика,['Магазин продуктов'],"3,1",38.1637,54.84698
Авокадо,['Магазин продуктов'],"3,7",38.250274,54.848878
Ночной 24,['Магазин продуктов'],"3,4",38.262521,54.790705
Кентавр,,"4,2",38.259239,54.791113
Продукты,['Магазин продуктов'],"3,7",38.205271,54.814182
Супермаркет,,"4,1",38.249755,54.852312
Базальт,['Магазин продуктов'],"3,4",38.243815,54.840751
Сибирский Бегемот,['Продукты глубокой заморозки'],,38.151217,54.834175
Лазурит,['Магазин продуктов'],"3,9",38.280116,54.796101
Народный,['Магазин продуктов'],"3,5",38.24476,54.845268
